timestamp,timeIntervalSince1970,latitude,longitude,altitude,horizontalAccuracy,verticalAccuracy,speed,course
"2022-03-03 00:00:00.999 +0000",1646265600.998672,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:01.999 +0000",1646265601.998667,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:02.999 +0000",1646265602.998663,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:03.999 +0000",1646265603.998660,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:04.999 +0000",1646265604.998658,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:05.999 +0000",1646265605.998656,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:06.999 +0000",1646265606.998655,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:07.999 +0000",1646265607.998655,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:08.999 +0000",1646265608.998654,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:09.999 +0000",1646265609.998655,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:10.999 +0000",1646265610.998686,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:11.999 +0000",1646265611.998659,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:12.999 +0000",1646265612.998660,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:13.999 +0000",1646265613.998662,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:14.999 +0000",1646265614.998666,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:15.999 +0000",1646265615.998670,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:16.999 +0000",1646265616.998673,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:17.999 +0000",1646265617.998678,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:18.999 +0000",1646265618.998683,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:19.999 +0000",1646265619.998687,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:20.999 +0000",1646265620.998693,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:21.999 +0000",1646265621.998697,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:22.999 +0000",1646265622.998703,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:23.999 +0000",1646265623.998709,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:24.999 +0000",1646265624.998715,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:25.999 +0000",1646265625.998721,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:26.999 +0000",1646265626.998727,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:27.999 +0000",1646265627.998733,37.335495,127.087062,103.767580,16.002417,3.000000,0.000000,271.039948
"2022-03-03 00:00:28.999 +0000",1646265628.998740,37.335495,127.087040,104.059231,16.002417,3.000000,0.027844,271.039948
"2022-03-03 00:00:29.999 +0000",1646265629.998747,37.335495,127.087034,104.080263,16.002417,3.000000,0.187875,271.039948
"2022-03-03 00:00:30.999 +0000",1646265630.998755,37.335495,127.087033,104.084584,16.002417,3.000000,0.187875,271.039948
"2022-03-03 00:00:31.999 +0000",1646265631.998761,37.335496,127.087031,104.076920,16.002417,3.000000,0.113573,271.039948
"2022-03-03 00:00:32.999 +0000",1646265632.998769,37.335496,127.087028,104.082073,16.002417,3.000000,0.571962,271.039948
"2022-03-03 00:00:33.999 +0000",1646265633.998776,37.335496,127.087021,104.129047,16.002417,3.000000,0.206248,271.039948
"2022-03-03 00:00:34.999 +0000",1646265634.998783,37.335496,127.087014,104.229764,16.002417,3.000000,0.136951,271.039948
"2022-03-03 00:00:35.999 +0000",1646265635.998792,37.335496,127.087003,104.358942,16.002417,3.000000,0.118680,271.039948
"2022-03-03 00:00:36.999 +0000",1646265636.998798,37.335496,127.086996,104.493018,16.002417,3.000000,0.048653,271.039948
"2022-03-03 00:00:37.999 +0000",1646265637.998807,37.335496,127.087015,104.609278,16.002417,3.000000,0.025120,271.039948
"2022-03-03 00:00:38.999 +0000",1646265638.998814,37.335496,127.087023,104.611532,16.002417,3.000000,0.048653,271.039948
"2022-03-03 00:00:39.999 +0000",1646265639.998823,37.335496,127.087024,104.563239,16.002417,3.000000,1.382778,271.039948
"2022-03-03 00:00:40.999 +0000",1646265640.998831,37.335496,127.087010,104.507865,16.002417,3.000000,2.641361,271.039948
"2022-03-03 00:00:41.999 +0000",1646265641.998838,37.335496,127.086983,104.502520,16.002417,3.000000,2.641361,271.039948
"2022-03-03 00:00:42.999 +0000",1646265642.998847,37.335497,127.086954,104.660683,16.002417,3.000000,2.664669,229.319558
"2022-03-03 00:00:43.999 +0000",1646265643.998855,37.335487,127.086921,105.003933,16.002417,3.000000,4.801597,211.860406
"2022-03-03 00:00:44.999 +0000",1646265644.998863,37.335337,127.086883,105.581402,16.002417,3.000000,5.746099,181.438232
"2022-03-03 00:00:45.999 +0000",1646265645.998872,37.335286,127.086873,105.932511,16.002417,3.000000,5.746099,181.438232
"2022-03-03 00:00:46.999 +0000",1646265646.998880,37.335222,127.086860,106.475438,16.002417,3.000000,6.079345,181.387177
"2022-03-03 00:00:47.999 +0000",1646265647.998889,37.335154,127.086877,107.291055,16.002417,3.000000,7.219296,181.387177
"2022-03-03 00:00:48.999 +0000",1646265648.998897,37.335090,127.086906,108.357088,16.002417,3.000000,7.535813,181.387177
"2022-03-03 00:00:49.999 +0000",1646265649.998906,37.335036,127.086908,111.078630,16.002417,3.000000,7.535813,181.387268
"2022-03-03 00:00:50.999 +0000",1646265650.998914,37.334964,127.086909,111.810933,16.002417,3.000000,8.102537,181.387268
"2022-03-03 00:00:51.999 +0000",1646265651.998923,37.334887,127.086903,112.603314,16.002417,3.000000,8.478747,181.387268
"2022-03-03 00:00:52.999 +0000",1646265652.998931,37.334809,127.086903,113.718728,16.002417,3.000000,8.855920,181.387268
"2022-03-03 00:00:53.999 +0000",1646265653.998940,37.334733,127.086900,115.115450,16.002417,3.000000,8.478747,181.387268
"2022-03-03 00:00:54.999 +0000",1646265654.998949,37.334649,127.086898,116.744855,16.002417,3.000000,8.745533,181.387268
"2022-03-03 00:00:55.999 +0000",1646265655.998958,37.334561,127.086898,121.323269,16.002417,3.000000,9.309894,181.387268
"2022-03-03 00:00:56.999 +0000",1646265656.998966,37.334476,127.086877,124.077349,16.002417,3.000000,9.513093,178.783676
"2022-03-03 00:00:57.999 +0000",1646265657.998975,37.334394,127.086880,126.079671,16.002417,3.000000,9.309894,178.783676
"2022-03-03 00:00:58.999 +0000",1646265658.998984,37.334316,127.086882,127.699144,16.002417,3.000000,9.029329,178.783676
"2022-03-03 00:00:59.999 +0000",1646265659.998993,37.334235,127.086900,129.075918,48.007250,3.000000,-1.000000,178.783676
"2022-03-03 00:01:00.999 +0000",1646265660.999002,37.334154,127.086895,127.382095,48.007250,3.000000,-1.000000,178.783768
"2022-03-03 00:01:01.999 +0000",1646265661.999011,37.334072,127.086891,125.949645,48.007250,3.000000,-1.000000,178.783768
"2022-03-03 00:01:02.999 +0000",1646265662.999020,37.333991,127.086888,124.741774,48.007250,3.000000,-1.000000,178.783768
"2022-03-03 00:01:03.999 +0000",1646265663.999028,37.333910,127.086885,123.725950,48.007250,3.000000,-1.000000,169.417328
"2022-03-03 00:01:29.266 +0000",1646265689.266340,37.331607,127.089352,116.122070,59.856355,3.687737,-1.000000,-1.000000
"2022-03-03 00:01:29.999 +0000",1646265689.999263,37.331617,127.089172,115.660603,32.004833,76.698608,9.929134,137.287280
"2022-03-03 00:01:30.999 +0000",1646265690.999272,37.331512,127.089274,122.258348,32.004833,3.000000,10.419521,131.553446
"2022-03-03 00:01:31.999 +0000",1646265691.999282,37.331455,127.089365,122.177209,16.002417,3.000000,9.929134,133.738382
"2022-03-03 00:01:32.999 +0000",1646265692.999291,37.331423,127.089495,121.621894,16.002417,3.000000,9.603858,132.903519
"2022-03-03 00:01:33.999 +0000",1646265693.999300,37.331360,127.089580,120.687168,16.002417,3.000000,9.611269,132.903519
"2022-03-03 00:01:34.999 +0000",1646265694.999310,37.331306,127.089690,119.908217,16.002417,3.000000,10.278107,132.903519
"2022-03-03 00:01:35.999 +0000",1646265695.999318,37.331242,127.089771,118.851412,16.002417,3.000000,9.950460,132.903519
"2022-03-03 00:01:36.999 +0000",1646265696.999328,37.331181,127.089852,117.828236,16.002417,3.000000,10.132812,133.031143
"2022-03-03 00:01:37.999 +0000",1646265697.999337,37.331116,127.089935,117.331592,16.002417,3.000000,10.679380,132.738602
"2022-03-03 00:01:38.999 +0000",1646265698.999346,37.331049,127.090023,117.033581,16.002417,3.000000,10.679380,132.738602
"2022-03-03 00:01:39.999 +0000",1646265699.999355,37.330983,127.090107,114.267045,16.002417,3.000000,10.510941,132.738602
"2022-03-03 00:01:40.999 +0000",1646265700.999365,37.330910,127.090206,113.948053,16.002417,3.000000,10.510941,132.738602
"2022-03-03 00:01:41.999 +0000",1646265701.999373,37.330842,127.090317,114.279567,16.002417,3.000000,11.259256,132.738602
"2022-03-03 00:01:42.999 +0000",1646265702.999382,37.330775,127.090413,114.189548,16.002417,3.000000,11.259256,133.561600
"2022-03-03 00:01:43.999 +0000",1646265703.999391,37.330716,127.090497,114.289366,16.002417,3.000000,-1.000000,133.561600
"2022-03-03 00:01:44.999 +0000",1646265704.999401,37.330655,127.090579,111.789181,48.007250,3.139906,-1.000000,133.561600
"2022-03-03 00:01:45.999 +0000",1646265705.999409,37.330583,127.090680,109.897863,24.003625,6.235023,11.332620,128.235611
"2022-03-03 00:01:46.999 +0000",1646265706.999419,37.330516,127.090788,113.226328,24.003625,3.154471,11.687278,128.235611
"2022-03-03 00:01:47.999 +0000",1646265707.999428,37.330446,127.090890,113.136626,24.003625,3.031951,11.332620,128.235611
"2022-03-03 00:01:48.999 +0000",1646265708.999437,37.330364,127.091021,112.325737,24.003625,3.000000,10.799760,105.984512
"2022-03-03 00:01:49.999 +0000",1646265709.999446,37.330329,127.091164,111.175733,16.002417,3.000000,10.341520,97.782776
"2022-03-03 00:01:50.999 +0000",1646265710.999456,37.330311,127.091332,107.496864,16.002417,3.000000,10.341520,97.782776
"2022-03-03 00:01:51.999 +0000",1646265711.999465,37.330308,127.091485,105.311996,16.002417,3.000000,10.212845,92.411751
"2022-03-03 00:01:52.999 +0000",1646265712.999474,37.330304,127.091613,103.834188,16.002417,3.000000,8.483519,92.411751
"2022-03-03 00:01:53.999 +0000",1646265713.999483,37.330300,127.091735,102.697871,16.002417,3.000000,8.592692,92.411751
"2022-03-03 00:01:54.999 +0000",1646265714.999492,37.330295,127.091866,101.609374,16.002417,3.000000,9.115997,92.411751
"2022-03-03 00:01:56.000 +0000",1646265715.999501,37.330292,127.091995,100.396838,16.002417,3.000000,9.115997,91.324211
"2022-03-03 00:01:57.000 +0000",1646265716.999511,37.330290,127.092121,99.100679,16.002417,3.000000,9.115997,91.324211
"2022-03-03 00:01:58.000 +0000",1646265717.999520,37.330288,127.092241,97.751505,16.002417,3.000000,9.305939,91.324211
"2022-03-03 00:01:59.000 +0000",1646265718.999529,37.330286,127.092367,96.393260,16.002417,3.000000,9.305939,91.324211
"2022-03-03 00:02:00.000 +0000",1646265719.999538,37.330284,127.092459,95.172343,16.002417,3.000000,8.794069,91.324211
"2022-03-03 00:02:01.000 +0000",1646265720.999548,37.330296,127.092536,94.136320,16.002417,3.000000,6.713173,91.324211
"2022-03-03 00:02:02.000 +0000",1646265721.999557,37.330288,127.092609,93.359551,16.002417,3.000000,6.387501,91.324211
"2022-03-03 00:02:03.000 +0000",1646265722.999565,37.330278,127.092684,92.861454,16.002417,3.000000,6.387501,91.324211
"2022-03-03 00:02:04.000 +0000",1646265723.999574,37.330265,127.092730,92.549250,16.002417,3.000000,6.098087,122.038774
"2022-03-03 00:02:05.000 +0000",1646265724.999584,37.330253,127.092786,92.359751,16.002417,3.000000,5.065001,140.943317
"2022-03-03 00:02:06.000 +0000",1646265725.999593,37.330157,127.092762,92.236163,16.002417,3.000000,5.420508,182.584259
"2022-03-03 00:02:07.000 +0000",1646265726.999602,37.330090,127.092758,92.158456,16.002417,3.000000,6.444072,182.584259
"2022-03-03 00:02:08.000 +0000",1646265727.999611,37.330023,127.092755,92.109871,16.002417,3.000000,6.444072,182.584259
"2022-03-03 00:02:09.000 +0000",1646265728.999620,37.329949,127.092750,92.079525,16.002417,3.000000,7.761012,182.584259
"2022-03-03 00:02:10.000 +0000",1646265729.999629,37.329865,127.092746,92.198754,16.002417,3.000000,9.713507,182.584259
"2022-03-03 00:02:11.000 +0000",1646265730.999638,37.329778,127.092741,92.501169,16.002417,3.000000,10.265880,182.584259
"2022-03-03 00:02:12.000 +0000",1646265731.999648,37.329672,127.092735,92.932796,16.002417,3.000000,9.713507,182.584259
"2022-03-03 00:02:13.000 +0000",1646265732.999657,37.329577,127.092731,93.528612,16.002417,3.000000,9.710278,181.467529
"2022-03-03 00:02:14.000 +0000",1646265733.999667,37.329485,127.092743,94.208091,16.002417,3.000000,8.578403,181.467529
"2022-03-03 00:02:15.000 +0000",1646265734.999675,37.329403,127.092736,94.918677,16.002417,3.000000,8.578403,181.467529
"2022-03-03 00:02:16.000 +0000",1646265735.999685,37.329331,127.092730,95.497764,16.002417,3.000000,8.078700,185.902100
"2022-03-03 00:02:17.000 +0000",1646265736.999694,37.329268,127.092725,95.853780,16.002417,3.000000,7.005515,181.467529
"2022-03-03 00:02:18.000 +0000",1646265737.999703,37.329226,127.092721,96.052467,16.002417,3.000000,3.448899,185.902100
"2022-03-03 00:02:19.000 +0000",1646265738.999712,37.329200,127.092697,96.155886,16.002417,3.000000,3.448899,185.902100
"2022-03-03 00:02:20.000 +0000",1646265739.999721,37.329191,127.092715,96.204605,16.002417,3.000000,1.434561,185.902100
"2022-03-03 00:02:21.000 +0000",1646265740.999731,37.329184,127.092713,96.230117,16.002417,3.000000,0.065203,185.902100
"2022-03-03 00:02:22.000 +0000",1646265741.999740,37.329184,127.092710,96.242268,16.002417,3.000000,0.037291,185.902100
"2022-03-03 00:02:23.000 +0000",1646265742.999748,37.329182,127.092707,96.249532,16.002417,3.000000,0.041136,185.902100
"2022-03-03 00:02:24.000 +0000",1646265743.999758,37.329183,127.092703,96.253822,16.002417,3.000000,0.050930,185.902100
"2022-03-03 00:02:25.000 +0000",1646265744.999767,37.329183,127.092698,96.257410,16.002417,3.000000,0.033013,185.902100
"2022-03-03 00:02:26.000 +0000",1646265745.999776,37.329183,127.092695,96.260440,16.002417,3.000000,0.022055,185.902100
"2022-03-03 00:02:27.000 +0000",1646265746.999785,37.329184,127.092691,96.263187,16.002417,3.000000,0.017821,185.902100
"2022-03-03 00:02:28.000 +0000",1646265747.999795,37.329183,127.092688,96.265652,16.002417,3.000000,0.018830,185.902100
"2022-03-03 00:02:29.000 +0000",1646265748.999804,37.329182,127.092685,96.267128,16.002417,3.000000,0.021542,185.902100
"2022-03-03 00:02:30.000 +0000",1646265749.999813,37.329183,127.092682,96.267859,16.002417,3.000000,0.041623,185.902100
"2022-03-03 00:02:31.000 +0000",1646265750.999823,37.329183,127.092679,96.269422,16.002417,3.000000,0.045078,185.902100
"2022-03-03 00:02:32.000 +0000",1646265751.999831,37.329181,127.092677,96.270677,16.002417,3.000000,0.031957,185.902100
"2022-03-03 00:02:33.000 +0000",1646265752.999841,37.329180,127.092677,96.270803,16.002417,3.000000,0.016427,185.902100
"2022-03-03 00:02:34.000 +0000",1646265753.999850,37.329178,127.092675,96.269902,16.002417,3.000000,0.038202,185.902100
"2022-03-03 00:02:35.000 +0000",1646265754.999859,37.329178,127.092675,96.269902,16.002417,3.000000,0.000000,185.902100
"2022-03-03 00:02:36.000 +0000",1646265755.999867,37.329178,127.092675,96.269902,16.002417,3.000000,0.000000,185.902100
"2022-03-03 00:02:37.000 +0000",1646265756.999878,37.329178,127.092675,96.269902,6.000906,3.000000,0.000000,185.902100
"2022-03-03 00:02:38.000 +0000",1646265757.999886,37.329178,127.092675,96.269902,4.000604,3.000000,0.000000,185.902100
"2022-03-03 00:02:39.000 +0000",1646265758.999896,37.329178,127.092675,96.269902,4.000604,3.000000,0.000000,185.902100
"2022-03-03 00:02:40.000 +0000",1646265759.999905,37.329178,127.092675,96.269902,6.000906,3.000000,0.000000,185.902100
"2022-03-03 00:02:41.000 +0000",1646265760.999914,37.329179,127.092689,96.262878,6.000906,3.000000,0.021509,185.902100
"2022-03-03 00:02:42.000 +0000",1646265761.999923,37.329175,127.092676,96.262099,6.000906,3.000000,1.164979,185.902100
"2022-03-03 00:02:43.000 +0000",1646265762.999932,37.329166,127.092689,96.259522,6.000906,3.000000,2.002097,185.902100
"2022-03-03 00:02:44.000 +0000",1646265763.999941,37.329143,127.092689,96.249472,4.000604,3.000000,2.002097,185.902100
"2022-03-03 00:02:45.000 +0000",1646265764.999950,37.329109,127.092694,96.242350,4.000604,3.000000,3.167145,185.902100
"2022-03-03 00:02:46.000 +0000",1646265765.999960,37.329060,127.092694,96.237819,4.000604,3.000000,5.596936,179.232864
"2022-03-03 00:02:47.000 +0000",1646265766.999969,37.329008,127.092697,96.234984,6.000906,3.000000,5.705520,179.232864
"2022-03-03 00:02:48.000 +0000",1646265767.999978,37.328953,127.092691,96.233210,6.000906,3.000000,5.705520,179.232864
"2022-03-03 00:02:49.000 +0000",1646265768.999987,37.328903,127.092746,96.232099,8.001208,3.000000,5.705520,126.405403
"2022-03-03 00:02:50.000 +0000",1646265769.999996,37.328859,127.092799,96.231411,8.001208,3.000000,6.844504,126.405403
"2022-03-03 00:02:51.000 +0000",1646265771.000006,37.328832,127.092873,96.230978,8.001208,3.000000,6.844504,126.405403
"2022-03-03 00:02:52.000 +0000",1646265772.000015,37.328793,127.092941,96.230709,8.001208,3.000000,6.844504,126.405403
"2022-03-03 00:02:53.000 +0000",1646265773.000024,37.328748,127.093016,96.230537,6.000906,3.000000,7.850468,126.405403
"2022-03-03 00:02:54.000 +0000",1646265774.000033,37.328703,127.093093,96.230431,6.000906,3.000000,8.498451,126.405403
"2022-03-03 00:02:55.000 +0000",1646265775.000041,37.328657,127.093170,96.230365,6.000906,3.000000,8.498451,126.405403
"2022-03-03 00:02:56.000 +0000",1646265776.000051,37.328625,127.093242,96.230325,6.000906,3.000000,7.668915,126.405403
"2022-03-03 00:02:57.000 +0000",1646265777.000060,37.328599,127.093300,96.230300,6.000906,3.000000,5.972114,126.405403
"2022-03-03 00:02:58.000 +0000",1646265778.000070,37.328572,127.093352,96.198334,8.001208,3.000000,5.533530,126.405403
"2022-03-03 00:02:59.000 +0000",1646265779.000079,37.328543,127.093411,96.066027,6.000906,3.000000,6.238497,126.405403
"2022-03-03 00:03:00.000 +0000",1646265780.000088,37.328506,127.093476,95.789915,6.000906,3.000000,6.238497,126.405403
"2022-03-03 00:03:01.000 +0000",1646265781.000097,37.328455,127.093542,95.425236,8.001208,3.000000,6.649595,126.405403
